,id,transcription,emotion,text,label
126,Ses01F_impro05_F017,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang,I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,2
127,Ses01F_impro05_F018,Do you understand who my husband is?,ang,Do you understand who my husband is?,2
128,Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",2
129,Ses01F_impro05_F020,Oh-Oh.  It's a gift.  You're-You're helping me out here?,ang,Oh-Oh.  It's a gift.  You're-You're helping me out here?,2
130,Ses01F_impro05_F021,You are cruising for a bruising.  You are in so much trouble.,ang,You are cruising for a bruising.  You are in so much trouble.,2
131,Ses01F_impro05_F022,Who's in charge?  Who is the president of Jet Blue?,ang,Who's in charge?  Who is the president of Jet Blue?,2
132,Ses01F_impro05_F023,Because I probably know him.,ang,Because I probably know him.,2
133,Ses01F_impro05_F024,Yeah.,ang,Yeah.,2
134,Ses01F_impro05_F025,"I don't want money, I want my clothes.",ang,"I don't want money, I want my clothes.",2
135,Ses01F_impro05_F026,What's your name?,ang,What's your name?,2
136,Ses01F_impro05_F028,Okay.  I'll do that.,ang,Okay.  I'll do that.,2
137,Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,ang,I don't think you have done everything you could do because I don't have my bag here yet.,2
138,Ses01F_impro05_F030,A letter? I'll make a personal phone call.,ang,A letter? I'll make a personal phone call.,2
139,Ses01F_impro05_M000,Hi.  Thanks for waiting.,neu,Hi.  Thanks for waiting.,0
140,Ses01F_impro05_M001,Can I help you?,hap,Can I help you?,1
141,Ses01F_impro05_M002,Uh huh.,hap,Uh huh.,1
142,Ses01F_impro05_M003,Okay.,neu,Okay.,0
143,Ses01F_impro05_M004,Okay.,neu,Okay.,0
144,Ses01F_impro05_M005,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,neu,Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.,0
145,Ses01F_impro05_M006,Okay.,neu,Okay.,0
146,Ses01F_impro05_M007,all right- okay.  And you lost your bag? Is that- that the issue?,neu,all right- okay.  And you lost your bag? Is that- that the issue?,0
147,Ses01F_impro05_M008,Uh-huh.,neu,Uh-huh.,0
148,Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",neu,"Yeah. Yeah, I don't see- I don't see any--",0
149,Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",0
150,Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",neu,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again...",0
151,Ses01F_impro05_M012,"for such an inconvenience and your bag, but",neu,"for such an inconvenience and your bag, but",0
152,Ses01F_impro05_M013,Yeah.,neu,Yeah.,0
153,Ses01F_impro05_M014,"No, no.",neu,"No, no.",0
154,Ses01F_impro05_M015,"No, no.  This is real.",neu,"No, no.  This is real.",0
155,Ses01F_impro05_M016,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",neu,"No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because...",0
156,Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,0
157,Ses01F_impro05_M019,Yes.,neu,Yes.,0
158,Ses01F_impro05_M020,I know.,neu,I know.,0
159,Ses01F_impro05_M022,Okay. Calm-,neu,Okay. Calm-,0
160,Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",0
161,Ses01F_impro05_M024,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",neu,"We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that.",0
162,Ses01F_impro05_M025,It's a gift.,neu,It's a gift.,0
163,Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",0
164,Ses01F_impro05_M027,With the amount of--,neu,With the amount of--,0
165,Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",neu,"Um, actually, I don't know. I don't know. Oh really?",0
166,Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,neu,Well then maybe you can just call him and he can give you more money.  But right now all I can do--,0
167,Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",0
168,Ses01F_impro05_M031,Oh.  My name is Sean. Hi.,neu,Oh.  My name is Sean. Hi.,0
169,Ses01F_impro05_M034,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",neu,"If you want, you can write a letter.  I can give you the address. Yes.  An angry--",0
170,Ses01F_impro05_M035,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",neu,"Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more...",0
171,Ses01F_impro06_F002,No.,sad,No.,3
172,Ses01F_impro06_F003,That's sweet.,neu,That's sweet.,0
173,Ses01F_impro06_F004,Thank you.,neu,Thank you.,0
174,Ses01F_impro06_F005,I went to see her headstone a week or two ago.,sad,I went to see her headstone a week or two ago.,3
175,Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad,"I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",3
176,Ses01F_impro06_F007,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,sad,So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.,3
177,Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,sad,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-,3
178,Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",neu,"this woman came up and, you know, it was hers. It was her person that was there.",0
179,Ses01F_impro06_F010,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",sad,"Yeah.  And she was like, that's pathetic, I hope you enjoy it.",3
180,Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",sad,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine.  She was like, I would rather have her back, honestly.",3
181,Ses01F_impro06_F012,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",sad,"I don't know.  It just, like, I felt so bad because I shouldn't have done it.  I don't know.  Whatever.",3
182,Ses01F_impro06_F013,I don't know.,sad,I don't know.,3
183,Ses01F_impro06_F014,At the cemetery?,sad,At the cemetery?,3
184,Ses01F_impro06_F015,couple hours.,sad,couple hours.,3
185,Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",neu,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day.  We ran through the sprinklers.",0
186,Ses01F_impro06_F018,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,neu,Yeah.  It's huge.  Redlands is an old city so they have lots and lots of stones.,0
187,Ses01F_impro06_F019,Yeah.,neu,Yeah.,0
188,Ses01F_impro06_F020,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",sad,"It's weird.  Whenever I go back to town, I think of her.  I mean, it's like ... I mean we grew up together and she died when we were twenty one.  And yeah.  She had cancer, she had two brain tumors.",3
189,Ses01F_impro06_F021,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",sad,"My best friend Heather.  She's got a- we have a- we built this like little--  There's a park, Prospect Park.  And there is like a garden section of it that we set up for her.",3
190,Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,sad,She used to have these poetry parties on Memorial Day.,3
191,Ses01F_impro06_F023,Umm. Yeah.,sad,Umm. Yeah.,3
192,Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",sad,"And the last time before she died, I remember she couldn't really stand, umm...",3
193,Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",sad,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized.  And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head.  It was cool.",3
194,Ses01F_impro06_F026,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",sad,"Some, I guess.  She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",3
195,Ses01F_impro06_F027,"There's another one, I can't remember.",neu,"There's another one, I can't remember.",0
196,Ses01F_impro06_F028,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",sad,"I remember, too, when we were--  she died at U.C.L.A.  She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back.  And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room.  All she needs is a God damn audience.  You know?",3
197,Ses01F_impro06_M000,"I'm sorry, Joy.",sad,"I'm sorry, Joy.",3
198,Ses01F_impro06_M001,Is there anything I can get you?  Do you want me to take care of anything for you or...?,neu,Is there anything I can get you?  Do you want me to take care of anything for you or...?,0
199,Ses01F_impro06_M002,...pick up anything?,neu,...pick up anything?,0
200,Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,sad,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,3
201,Ses01F_impro06_M004,Hmm.,neu,Hmm.,0
202,Ses01F_impro06_M005,Oh.  She was there?,neu,Oh.  She was there?,0
203,Ses01F_impro06_M006,Mmhmm.,neu,Mmhmm.,0
204,Ses01F_impro06_M007,Yeah.,sad,Yeah.,3
205,Ses01F_impro06_M008,How long were you there for?,neu,How long were you there for?,0
206,Ses01F_impro06_M009,Mmhmm.,neu,Mmhmm.,0
207,Ses01F_impro06_M010,Oh really?,neu,Oh really?,0
208,Ses01F_impro06_M011,You ran through the sprinklers in the cemetery?,neu,You ran through the sprinklers in the cemetery?,0
209,Ses01F_impro06_M012,Is it a big cemetery?,neu,Is it a big cemetery?,0
210,Ses01F_impro06_M013,"Oh, so they're like really old too, really old ones?",neu,"Oh, so they're like really old too, really old ones?",0
211,Ses01F_impro06_M014,Mmhmm.,neu,Mmhmm.,0
212,Ses01F_impro06_M015,Mmhmm.,neu,Mmhmm.,0
213,Ses01F_impro06_M016,So she wrote a lot of poetry?,neu,So she wrote a lot of poetry?,0
214,Ses01F_impro07_F000,"Yes.  There's a big envelope it says, you're in. I know.",hap,"Yes.  There's a big envelope it says, you're in. I know.",1
215,Ses01F_impro07_F002,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",hap,"I'm really excited.  Yeah. I don't know how I'm going to pay for anything, but... I also- Yeah.  Loans, too, yeah. I applied, though, for a bunch of grants and scholarships so I'm still waiting to hear on that.",1
216,Ses01F_impro07_F003,"Oh- I know, I know, I know, I know.",hap,"Oh- I know, I know, I know, I know.",1
217,Ses01F_impro07_F004,"I don't know.  I spend so much time commuting as it is, I'd rather.",hap,"I don't know.  I spend so much time commuting as it is, I'd rather.",1
218,Ses01F_impro07_F005,I know. We should throw a party.,hap,I know. We should throw a party.,1
219,Ses01F_impro07_F009,Yeah.  I'm not sure.,hap,Yeah.  I'm not sure.,1
220,Ses01F_impro07_F010,Umm...P.h.D. [LAUGHTER],hap,Umm...P.h.D. [LAUGHTER],1
221,Ses01F_impro07_F012,So I get to mold young minds. Mrs.?  That's my mother.,hap,So I get to mold young minds. Mrs.?  That's my mother.,1
222,Ses01F_impro07_F013,"I would be like- Oh. Right, right, right.",hap,"I would be like- Oh. Right, right, right.",1
223,Ses01F_impro07_F016,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",hap,"I know. I made such a mess of it, the entire time.  The last three things I've done, I've ruined everything, I think. Mm-hmm.  Yeah.",1
224,Ses01F_impro07_M000,Did you get the letter?,hap,Did you get the letter?,1
225,Ses01F_impro07_M001,Yeah. That is so awesome.,hap,Yeah. That is so awesome.,1
226,Ses01F_impro07_M002,Oh my God. What are you going to do? [LAUGHTER],hap,Oh my God. What are you going to do? [LAUGHTER],1
227,Ses01F_impro07_M003,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",hap,"Oh-Yeah, I bet you're really excited. Oh.  That's what loans are for?  Right? Exactly.",1
228,Ses01F_impro07_M004,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",hap,"Oh.  Good, good.  That's awesome. Are you going to stay around here?  Or are you going to like get a different neighborhood- you going to move to a different neighborhood?",1
